Impressão de campos da consulta;;;;;;;;Página: 1;

795;285;Pagamento bolsa auxílio;;Não;
796;;Valor desconto sobre;;Não;
800;;Valor pago a maior NFe nº.;;Não;
801;;Valor pago a maior ECF nº.;;Não;
809;366;Desconto vale transporte;;Não;
810;;Valor emissão de cheque nº;;Não;
811;;Valor IOF a débito de c/c;;Não;
812;;Valor pagamento de juros;;Não;
813;;Valor pagamento título nº;;Não;
814;;Pagamento cfe recibo;;Não;
817;367;Desconto cesta básica;;Não;
825;368;Desconto vale refeição;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 5;

Código;Apelido;Nome;;Pula complemento;
833;370;FGTS s/ 13º. salário;;Não;
841;382;Ref. 13º salário;;Não;
850;383;IRRF sobre 13º salário;;Não;
868;440;Desconto assist. médica;;Não;
884;477;Contribuição INSS do mês;;Não;
906;479;Desconto adto sobre salário do mês;;Não;
914;480;IRRF sobre folha;;Não;
922;482;INSS sobre folha ref.:;;Não;
930;483;INSS descontado sobre 13º. salário;;Não;
949;485;Férias no mês;;Não;
957;491;Pensão judicial a pagar ref.:;;Não;
965;493;Desconto líquido rescisão;;Não;
973;611;Ref. gratificações;;Não;
981;621;Arredondamento salário conf. folha;;Não;
990;693;Bolsa auxílio no mês conf. folha;;Não;
999;;Pagamento NF * - *D;;Não;
1000;PGTO;Pagamento *D ref. *N;;Não;
1001;;Pagamento de;;Não;
1002;;Débito ref.;;Não;
1005;;Crédito ref.;;Não;
1006;;Valor ref.:;;Não;
1007;202;Desconto contribuição assistencial;;Não;
1015;257;Desconto contribuição sindical;;Não;
1023;273;Salário maternidade ref.:;;Não;
1031;384;Desconto 13º. salário;;Não;
1040;385;Distribuição de lucros;;Não;
1082;90;Apropriação fretes e carretos;;Não;
1090;313;ISS a recolher;;Não;
1104;ICMSVDAS;ICMS devido sobre vendas do mês;;Não;
1112;316;ICMS crédito sobre compras;;Não;
1120;317;ICMS débito sobre transferência;;Não;
1139;318;ICMS crédito sobre transferência;;Não;
1147;319;ICMS débito sobre devolução compras;;Não;
1155;320;ICMS crédito sobre devolução vendas;;Não;
1163;321;IPI débito sobre vendas;;Não;
1171;322;IPI crédito sobre compras;;Não;
1180;323;IPI débito sobre transferência;;Não;
1198;324;IPI crédito sobre transferência;;Não;
1201;325;IPI débito sobre devolução compras;;Não;
1210;326;IPI crédito sobre devolução vendas;;Não;
1228;328;ICMS recuperado ref.:;;Não;
1236;329;IPI recuperado ref.:;;Não;
1260;339;Apropriação PIS do período;;Não;
1279;374;Material de escritório conf. NF nº;;Não;

SCI Ambiente Contábil ÚNICO;;;;
Impressão de campos da consulta;;;;;;;;Página: 6;

Código;Apelido;Nome;;Pula complemento;
1287;397;Material de limpeza a prazo;;Não;
1295;399;Material de escritório a prazo;;Não;
1309;400;Material de consumo a prazo;;Não;
1317;419;Venda a prazo cfe NF nº;;Não;
1341;424;Serviços prestados a prazo ref.:;;Não;
1368;430;ICMS sobre conta de luz;;Não;
1376;432;Despesas com cesta básica;;Não;
1384;434;Bens do permanente a prazo conf. reg.;;Não;
1392;436;Uniformes a prazo conf.;;Não;
1406;437;Serviços gráficos a prazo ref.:;;Não;
1414;438;ICMS do mês;;Não;
1422;458;Compras de merc. a prazo no mês conf.;;Não;
1430;459;Despesas com brindes a prazo conf.;;Não;
1449;462;ICMS sobre matéria prima;;Não;
1457;463;IPI sobre venda de produtos;;Não;
1465;464;ICMS sobre compras de brindes;;Não;
1473;465;ICMS sobre beneficiamento;;Não;
1481;468;IPI sobre matéria prima;;Não;
1490;469;IPI sobre beneficiamento;;Não;
1503;470;IPI sobre matéria prima devolvida;;Não;
